Former_material,Temperature_C,Coil_diameter_mm,Fiber_length_m,Group_index,Beta_rad,Relative_scale_factor,Scale_error_ppm,Error_at_1deg_s_deg_s,Error_at_20deg_s_deg_s
FusedSilica benchmark,-10,159.391432048133,999.98075,1.467906,1.83960895977374,0.99996112010529,-38.8798947099644,-3.88798947099644e-05,-0.0007775978941992
FusedSilica benchmark,-5,159.39187038301,999.9835,1.467948,1.8396648223361,0.999966680929364,-33.3190706364173,-3.33190706364173e-05,-0.0006663814127283
FusedSilica benchmark,0,159.392308717886,999.98625,1.46799,1.83972068500751,0.999972239569034,-27.7604309658619,-2.77604309658619e-05,-0.0005552086193172
FusedSilica benchmark,5,159.392747052762,999.989,1.468032,1.83977654778796,0.999977796024264,-22.203975736379,-2.2203975736379e-05,-0.0004440795147275
FusedSilica benchmark,10,159.393185387638,999.99175,1.468074,1.83983241067744,0.999983350295014,-16.6497049862713,-1.66497049862713e-05,-0.0003329940997254
FusedSilica benchmark,15,159.393623722514,999.9945,1.468116,1.83988827367595,0.999988902381245,-11.0976187548406,-1.10976187548406e-05,-0.0002219523750968
FusedSilica benchmark,20,159.39406205739,999.99725,1.468158,1.83994413678347,0.99999445228292,-5.54771708005664,-5.54771708005664e-06,-0.0001109543416011
FusedSilica benchmark,25,159.394500392266,1000,1.4682,1.84,1,2.22044604925031e-10,2.2204460492503099e-16,4.44089209850063e-15
FusedSilica benchmark,30,159.394938727142,1000.00275,1.468242,1.84005586332553,1.00000554553245,5.54553244724865,5.54553244724865e-06,0.0001109106489449
FusedSilica benchmark,35,159.395377062018,1000.0055,1.468284,1.84011172676005,1.00001108888022,11.0888802222764,1.10888802222764e-05,0.0002217776044455
FusedSilica benchmark,40,159.395815396894,1000.00825,1.468326,1.84016759030356,1.00001663004329,16.6300432866695,1.66300432866695e-05,0.0003326008657333
FusedSilica benchmark,45,159.39625373177,1000.011,1.468368,1.84022345395605,1.0000221690216,22.1690216026804,2.21690216026804e-05,0.0004433804320536
FusedSilica benchmark,50,159.396692066646,1000.01375,1.46841,1.84027931771751,1.00002770581513,27.7058151316734,2.77058151316734e-05,0.0005541163026334
FusedSilica benchmark,55,159.397130401522,1000.0165,1.468452,1.84033518158792,1.00003324042384,33.2404238354567,3.32404238354567e-05,0.0006648084767091
FusedSilica benchmark,60,159.397568736399,1000.01925,1.468494,1.84039104556729,1.00003877284768,38.7728476751725,3.87728476751725e-05,0.0007754569535034
