Depol_residual,Run,Theta_deg,Delta_rad,Omega_zero_deg_s,Omega_signal_deg_s,Paired_delta_Omega_deg_s,Mean_visibility
0.025,30,-8.31389337561612,0.208322419379021,-1.24164161821421e-05,8.53424912353136e-05,9.77589074174557e-05,0.993651838335297
0,1,-4.10893988063703,-0.437950057915789,1.2031436047374e-06,0.000102673054874109,0.000101469911269372,0.993695381633617
0,2,-26.9408963921622,-0.235891361545735,1.5697765653351e-05,0.000116564890822048,0.000100867125168697,0.993695381633617
0,3,23.2908882774107,0.123985552200384,3.31928002706699e-05,0.000136135559302898,0.000102942759032228,0.993695381633617
0,4,-27.3857988466488,0.37618940947681,-1.6621502469797e-06,9.88455924853423e-05,0.000100507742732322,0.993695381633617
0,5,16.7018205552814,-0.122189850010387,-1.69466209969347e-05,8.43223321198657e-05,0.0001012689531168,0.993695381633617
0,6,13.6825972709553,-0.102025070666272,-3.43988897863417e-05,6.73311279052256e-05,0.000101730017691567,0.993695381633617
0,7,-29.3595318525406,-0.215865366271033,-2.88213258953712e-06,9.27658053881158e-05,9.56479379776529e-05,0.993695381633617
0,8,27.6561773203387,-0.102347529959859,-7.33996236947149e-06,9.38348594420927e-05,0.000101174821811564,0.993695381633617
0,9,3.98770003070756,-0.484698079064969,5.30370316785783e-05,0.000153121051453559,0.000100084019774981,0.993695381633617
0,10,-8.19376350652481,0.226529465834898,-3.65014368673789e-06,0.000102079760127824,0.000105729903814562,0.993695381633617
0,11,-12.7968985757532,-0.199111461880365,4.23475068709388e-05,0.000143115180032821,0.000100767673161882,0.993695381633617
0,12,-9.27888772140767,0.470830846688624,7.14845310415911e-06,0.000107483467450313,0.000100335014346154,0.993695381633617
0,13,12.7585753653029,0.269001442261699,1.08486334523721e-06,0.000108793961243145,0.000107709097897908,0.993695381633617
0,14,15.4041755611662,-0.225116757834336,-4.16753062777508e-06,9.54516017594791e-05,9.96191323872542e-05,0.993695381633617
0,15,-19.1099191423279,0.333401825864016,3.58675577064068e-05,0.00013085907540785,9.49915177014433e-05,0.993695381633617
0,16,-29.5976292008073,-0.171142181416043,-1.31844019668097e-05,8.50792617937044e-05,9.82636637605141e-05,0.993695381633617
0,17,-27.0748640718781,0.0558281111452338,-1.34418169519616e-05,8.25692098182135e-05,9.60110267701751e-05,0.993695381633617
0,18,-29.0327471533893,0.0261220974575634,-3.44402425577996e-05,6.0868431935786e-05,9.53086744935856e-05,0.993695381633617
0,19,26.2050608651727,0.173713953129588,-7.87899018908574e-06,9.40464371106669e-05,0.000101925427299753,0.993695381633617
0,20,7.2703279931552,-0.373886247750256,-1.13830334206824e-06,0.000100426724111711,0.000101565027453779,0.993695381633617
0,21,-26.675807330441,-0.149985819290389,-4.31622183761925e-06,0.000102827093695913,0.000107143315533532,0.993695381633617
0,22,5.71766877798078,-0.27839270674328,2.51636902139565e-06,0.00010574043568586,0.000103224066664464,0.993695381633617
0,23,-20.1905636104503,0.43539031146606,1.98897308177755e-05,0.000118250820162566,9.83610893447905e-05,0.993695381633617
0,24,-4.65580958371986,-0.367720792124354,7.51820094670151e-06,0.000106814925818374,9.92967248716721e-05,0.993695381633617
0,25,-12.7230744901469,0.338260870211096,-8.09401468972387e-06,9.9937965194787e-05,0.000108031979884511,0.993695381633617
0,26,-24.3116510512366,-0.216030835966127,1.93846535158726e-05,0.00011697861166575,9.75939581498773e-05,0.993695381633617
0,27,29.7094106272753,-0.303196723778948,-2.47117193216251e-05,7.06628710506719e-05,9.5374590372297e-05,0.993695381633617
0,28,8.55041657156982,0.253518170570593,4.23220165373401e-05,0.000142886504760665,0.000100564488223325,0.993695381633617
0,29,21.1232465612208,-0.300722636918717,-2.12485189505276e-05,8.08574146964169e-05,0.000102105933646944,0.993695381633617
0,30,-8.31389337561612,0.208322419379021,-1.30671165838864e-05,8.48951536076827e-05,9.79622701915691e-05,0.993695381633617
